1	ZZZZZ.THE HAPPY PRINCEZZZZZ.	快乐王子	快乐王子	快乐王子	快乐王子
182	ZZZZZ."Nothing of the kind," answered the Duck, "every one must make a beginning, and parents cannot be too patient."ZZZZZ.	“不是的，”母鸭答道，“开头不容易，对谁都是一样，做父母的要有耐心才好。”	“不是那么回事，”鸭妈妈回答说，“万事开头难嘛，做父母的要多一点耐心。”	“可不是那么回事，”鸭妈妈回答说，“万事开头难嘛，做父母的要多一点耐心才行。”	“可千万别这样说，”母鸭回答道，“万事开头难，做父母的对他们一定要有耐心。”
183	ZZZZZ."Ah!|I know nothing about the feelings of parents," said the Water-rat; "I am not a family man.|In fact, I have never been married, and I never intend to be.|Love is all very well in its way, but friendship is much higher.|Indeed, I know of nothing in the world that is either nobler or rarer than a devoted friendship."ZZZZZ.	“啊！|我一点也不懂做父母的情感，”河鼠说。“我不是个有家室的人。|其实，我从没有结过婚，也决不想结婚。|爱情就它本身来说也很不错，可是友谊却比它高尚得多。|老实说，我不知道在世界上还有什么比忠实的友谊更高贵、更难得的东西。”	“啊：|我完全不了解做父母的情感，”河鼠说，“我不是个养家带口的人。|事实上，我从未结过婚，也决不打算结婚。|爱情本身倒是挺好的，但友情比它的价值更高。|说实在的，我不知道在这世上还有什么比忠实的友谊更崇高和更珍贵的了。”	“啊！|我完全不理解做父母的感受，”河鼠说，“我是个没有成过家的男人。|实际上，我还从没有结过婚呢，而且也从来没打算过要结婚。|爱情本身倒是挺美好的，但友情比它的价值更高。|说实在的，我不知道在这世上还有什么比忠实的友谊更高贵、更稀罕的了。”	“哎！|我不明白你们做父母的心情。”水老鼠说，“我是一个没有家的人。|事实上，我没有结过婚，也永远不想结婚。|爱情诚可贵，友谊价更高。|说真的，我不知道世界上还有什么比忠诚的友谊更高尚、更可贵的了。”
184	ZZZZZ."And what, pray, is your idea of the duties of a devoted friend?" asked a green Linnet, who was sitting in a willow-tree hard by, and had overheard the conversation.ZZZZZ.	“那么请问，你以为一个忠实的朋友究竟有些什么样的义务？”一只绿色梅花雀坐在近旁一棵柳树上面，听见他们的谈话便插嘴问道。	“那么，请问，你认为一个忠实的朋友的责任是什么呢？”一只绿色的红雀开口问道，此时他正坐在旁边一视柳树上，偷听到他们的谈话。	“那么，请问，你认为一个忠实的朋友的责任应该是什么呢？”一只绿色的朱顶雀开口问道，此时他正坐在旁边一棵柳树上，偷听到他们的谈话。	“那么，请你说说吧，怎样才算是一个忠实的朋友呢？”栖息在附近一棵柳树上的一只翠绿的朱顶雀无意中听见了他们的谈话，插嘴问道。
185	ZZZZZ."Yes, that is just what I want to know," said the Duck; and she swam away to the end of the pond, and stood upon her head, in order to give her children a good example.ZZZZZ.	“对啊，我也就是想知道这一点，”母鸭说，她便游到池子的那一头去，倒立起来，给她的孩子们做一个好榜样。	“是啊，这正是我想知道的，”鸭妈妈说。接着她就游到了池塘的另一头，头朝下倒立起来，为的是给孩子们做一个好榜样。	“是啊，这正是我想知道的问题，”鸭妈妈说。说完她就游到了池塘的另一头，头朝下倒立起来，为的是给她的孩子们做一个好榜样。	“是呀，这也正是我想知道的。”母鸭子边说边向池塘的尽头游去，并且把头潜入水中，这是为了要给她的孩子们做一个好榜样。
186	ZZZZZ."What a silly question!" cried the Water-rat.|"I should expect my devoted friend to be devoted to me, of course."ZZZZZ.	“你问得多傻！”河鼠大声说。|“自然啊，我希望我的忠实的朋友对我忠实。”	“这问题问得多笨！”河鼠吼道，|“当然，我肯定我忠实的朋友对我是忠实的。”	“这问题问得多傻啊！”河鼠叫道，|“当然，我希望我忠实的朋友是忠实于我的。”	“多么愚蠢的问题！”水老鼠大声说。|“我当然希望忠实的朋友一定要对我忠实啦。”
292	ZZZZZ.THE REMARKABLE ROCKETZZZZZ.	了不起的火箭	神奇的火箭	了不起的火箭烟花	突出的冲天炮
293	ZZZZZ.from The Happy Prince and Other Tales by Oscar Wilde,1888ZZZZZ.	选自《巴金译文全集(第六卷)》〔英〕奥斯卡·王尔德著;巴金译, 1997	选自《王尔德童话》〔英〕奥斯卡·王尔德著;王林译, 1996	选自《快乐王子》〔英〕奥斯卡·王尔德著;蔡荣寿译, 2012	选自《快乐王子》〔英〕奥斯卡·王尔德著;高延征译
294	ZZZZZ.The King's son was going to be married, so there were general rejoicings.|He had waited a whole year for his bride, and at last she had arrived.|She was a Russian Princess, and had driven all the way from Finland in a sledge drawn by six reindeer.|The sledge was shaped like a great golden swan, and between the swan's wings lay the little Princess herself.|Her long ermine cloak reached right down to her feet, on her head was a tiny cap of silver tissue, and she was as pale as the Snow Palace in which she had always lived.|So pale was she that as she drove through the streets all the people wondered.|"She is like a white rose!"|they cried, and they threw down flowers on her from the balconies.ZZZZZ.	国王的儿子要结婚了，国内准备着普遍的庆祝，|王子等他的新娘整整等了一年，后来她毕竟来了。|她是一位俄国公主，坐着六匹驯鹿拉的雪车从芬兰一路赶来的。|雪车的形状很像一只金色大天鹅，小公主就坐在天鹅的两只翅膀中间。|她那件银鼠皮的长外套一直盖到她的脚，她头上戴了一顶银线小帽，她的脸色苍白得就像她平时住的雪宫的颜色。|她是那么苍白，所以她的雪车经过街上的时候，百姓们都感到惊奇。|“她像一朵白蔷薇！”|他们嚷道，他们从露台上朝着她丢下花来。	国王的儿子就要结婚了，所以要在举国上下进行庆典。|他为自己的新娘已经等了整整一年，最后她还是赶来了。|她是一位俄国公主，坐着由六只驯鹿拉的雪橇从芬兰一路赶来的。|雪橇看上去像一只巨大的金色天鹅，小公主就安卧在天鹏的两只翅膀之间。|那件长长的貂皮大衣一直垂到她的脚跟，她的头上戴着一顶小巧的银线帽子，她的肤色苍白得就如同她一直居住的雪宫的颜色。|她是如此的苍白，在她驶过街道的时候，沿街的人们都惊讶地叹道：|“她就像一朵白玫瑰！”|于是大家纷纷从阳台上朝她抛下鲜花。	国王的儿子就要结婚了，举国上下都在准备举行庆典活动。|王子新郎官为自己的新娘已经等了整整一年，现在她终于来了。|她是一位俄国公主，乘着由六只驯鹿拉的雪橇从芬兰一路赶来的。|雪车的外形看上去就像一只金色的大天鹅，公主就坐在天鹅的两只翅膀之间。|穿着从脖子一直覆盖到脚的貂皮长大衣，她的头上戴着一顶银线编织的小帽，她的皮肤白嫩得就如同她一直居住的雪宫的颜色。|她是如此的白嫩，在她雪车驶过街道的时候，沿街的百姓都惊讶地叹道：|“她就像一朵白玫瑰！”|人们纷纷从阳台上朝她抛下鲜花。	国王的儿子就要结婚了，举国上下一片欢腾。|王子等待他的新娘的到来已经等了整整一年了，现在她终于要来了。|新娘是一位俄罗斯公主，她刚从芬兰来，一路上她都坐着由六只驯鹿拉的雪橇，|那雪橇就像一只巨大的金天鹅，而这位小公主就躺在金天鹅的两只翅膀之间。|她那貂皮长斗篷一直拖到脚后跟，她的头上还戴着一顶银丝薄纱的小便帽，她的脸就像她经常住的白雪宫殿一样白。|由于她是那么白，以至当她乘着雪橇经过街道时，人人都感到非常惊奇，|“她真像一朵白玫瑰！”|人们这样感叹道，并从阳台上向她抛下鲜花。
295	ZZZZZ.At the gate of the Castle the Prince was waiting to receive her.|He had dreamy violet eyes, and his hair was like fine gold.|When he saw her he sank upon one knee, and kissed her hand.ZZZZZ.	王子在宫城门口等着迎接她。|他有一对爱梦想的青紫色眼睛，和纯金一般的头发。|他看见她来，便跪下一只腿，吻她的手。	在城堡的门口王子正等着迎接她的到来。|他有一双梦幻般的紫色眼睛和一头金黄色的头发。|一看见她来了，他就跪下一条腿，吻了她的手。	金发碧眼的王子在城堡门口正等着迎接她。|（无）|一看见她来了，他就跪下一条腿，吻了她的手。	王子站在城堡的大门口急切地盼望着新娘的到来。|他有着一双梦幻般紫罗兰色的眼睛，他的头发美得就像金丝一样。|一看见他的新娘，他便单膝跪地，吻了吻她的手。
296	ZZZZZ."Your picture was beautiful," he murmured, "but you are more beautiful than your picture;"|and the little Princess blushed.ZZZZZ.	“你的照相很美，”他喃喃地说，“可是你本人比照相还要美；”|小公主脸红起来。	“你的照片好漂亮，”他轻声地说，“不过你比照片更漂亮。”|小公主的脸一下子就红了。	“你的画像很美，”他轻声地说，“不过你本人比画像更美。”|公主的脸一下子就红了。	“你的画像非常美，”他喃喃地对她说，“可你比你的画像更美。”|小公主听了，满脸通红。
297	ZZZZZ."She was like a white rose before," said a young page to his neighbour, "but she is like a red rose now;"|and the whole Court was delighted.ZZZZZ.	“她先前像一朵白蔷薇，可是现在她像一朵红蔷薇了，”一个年轻的侍从对他的朋友说，|整个宫里的人听见了都很高兴。	“她先前像一朵白攻瑰，”一位年轻的侍卫对身边的人说，“可此刻却像一朵红玫瑰了。”|整个宫里的人都快乐无比。	“她先前像一朵白玫瑰，”一位年轻的侍卫对身边的人说，“可现在她却像一朵红玫瑰了。”|整个宫里的人听后都感到十分高兴。	“以前她就像一朵白玫瑰”，一个小侍从对他周围的人说，“可是她现在却像一朵盛开的红玫瑰。”|宫廷内外一片欢声笑语。
298	ZZZZZ.For the next three days everybody went about saying, "White rose, Red rose, Red rose, White rose;" |and the King gave orders that the Page's salary was to be doubled.|As he received no salary at all this was not of much use to him, but it was considered a great honour, and was duly published in the Court Gazette.ZZZZZ.	这以后的三天里面人人都说着：“白蔷薇，红蔷薇，红蔷薇，白蔷薇；”|国王便下令把那侍从的薪金增加一倍。|其实他根本就没有薪金，加薪的命令对他并没有什么用处，不过这是一种大的荣誉，并且照例在《宫报》上公布了。	这以后的三天中人人都说着：“白玫瑰，红玫瑰；红玫瑰，白玫瑰。”|于是国王下令给那个侍卫的薪金增加一倍。|不过他根本就没有拿薪水，因此这道加薪的命令对他没有任何作用，然而这被视为一种莫大的荣誉，并按惯例在宫廷报纸上登出。	这以后的三天里人人都说着：“白玫瑰，红玫瑰；红玫瑰，白玫瑰。”|国王因此下令给那个侍卫的薪金增加一倍。|不过加薪的命令对他没有什么实际用处，只不过是一种莫大的荣誉，并按惯例在《宫廷报》上刊出。	接下来的三天里，每个人都到处传颂着“白玫瑰，红玫瑰，红玫瑰，白玫瑰”。|国王听了很高兴，便下令给小侍从的薪水加一倍。|但这对小侍从并没有什么用，因为他根本就没有薪水。不过大家都认为这是一种很荣幸的事情，并将这一消息及时地在宫廷报纸上刊登了出来。
299	ZZZZZ.When the three days were over the marriage was celebrated.|It was a magnificent ceremony, and the bride and bridegroom walked hand in hand under a canopy of purple velvet embroidered with little pearls.|Then there was a State Banquet, which lasted for five hours.|The Prince and Princess sat at the top of the Great Hall and drank out of a cup of clear crystal.|Only true lovers could drink out of this cup, for if false lips touched it, it grew grey and dull and cloudy.ZZZZZ.	过了这三天，婚礼便举行了。|这是一个隆重的仪式，一对新人在一幅绣着小珍珠的紫天鹅绒华盖下面手拉手地走着。|随后又举行盛大的宴会，一共继续了五个钟头。|王子同公主坐在大殿的首位，用一个透明的水晶杯子喝酒。|据说只有真诚的爱人才能够用这个杯子喝酒，要是虚假的爱情的嘴唇一挨到杯子，杯子马上就会变成灰暗无光而混浊了。	三天过后便举行了婚礼庆典。|这是一次盛大的仪式，新郎和新娘在一幅绣着小珍珠的紫色鹅绒华盖下手牵着手走着。|接着又举行了国宴，持续了五个小时。|王子和公主坐在大厅的首座上，用一只纯清的水晶杯子饮酒。|只有真诚的恋人才能用这只杯子喝酒，因为只要虚伪的嘴唇一挨上杯子，杯子就会变得灰暗无光。	三天之后便举行了结婚典礼。|这是一次隆重的仪式，新郎和新娘在一幅绣着小珍珠的紫色鹅绒华盖下手牵着手走着。|接着又举行盛大的国宴，宴会持续了五个小时。|王子和公主坐在大殿的首座上，用一只透明的水晶杯子饮酒。|据说只有真诚的恋人才能用这只杯子喝酒，因为只要虚伪的嘴唇一挨到杯子，它的颜色就会变灰，变得毫无光泽。	三天以后，国王为他们举行了盛大豪华的结婚庆典。|在婚礼上，新娘和新郎在一顶镶满了细珍珠的紫色天鶴绒华盖下手牵着手走着。|随后，国王又为他们举行了一个盛大的国宴，人们一连吃了五个小时。|王子和公主并排坐在宽敞的大厅的上方，用干净透明的水晶杯饮着美酒。|然而，只有真心相爱的恋人才能用这种杯子喝酒，因为凡是虚情假意的人，他的嘴唇一碰到这只水晶杯子，它就会变得浑浊灰暗，毫无光泽。
300	ZZZZZ."It is quite clear that they love each other," said the little Page, "as clear as crystal!"|and the King doubled his salary a second time.ZZZZZ.	“他们分明互相爱着，就跟水晶一样地洁白！”那个小侍从又说，|国王第二次下令给他加薪。	“一眼就能看出他们相亲相爱，”那个小侍卫说，“如同水晶一样纯洁！”|为这句话国王再次下令给他加薪。	“很明显，他们相亲相爱，”那个小侍卫说，“如同水晶一样纯洁！”|为这句话国王再次下令给他加薪。	“可以清楚地看出，他们俩确实是彼此真心相爱的。”那个小侍从说，“这简直就跟水晶一样明明白白！”|兴高采烈的国王再一次给他加了一倍的薪水。
301	ZZZZZ."What an honour!" cried all the courtiers.ZZZZZ.	“多大的光荣啊，”朝臣们全这样地嚷着。	“多么大的荣耀啊！”群臣们异口同声地喊道。	“多么荣耀啊！”群臣们异口同声地赞颂。	“多么荣耀啊！”全体朝臣们大声嚷道。
